created_date,final_score,score
2016-07-19,-0.07589612007141114,5.8
2016-07-20,-0.10385662317276001,5.0
2016-07-21,0.061544287204742434,5.2
2016-07-22,-0.44090512990951536,3.4
2016-07-23,-0.28668726682662965,23.0
2016-07-24,0.11948399543762207,12.6
2016-07-25,0.16506165266036987,4.4
2016-07-26,0.15829408168792725,3.8
2016-07-27,-0.33752224445343015,4.6
2016-07-28,-0.23024678230285645,2.8
2016-07-29,-0.16216752529144288,3.4
2016-07-30,-0.4367897868156433,5.4
2016-07-31,-0.1940317153930664,9.6
2016-08-01,-0.4819707989692688,3.4
2016-08-02,-0.04802548885345459,3.2
2016-08-03,0.0,12.4
2016-08-04,-0.24397393465042114,8.6
2016-08-05,-0.011239171028137207,3.4
2016-08-06,0.15455422401428223,12.8
2016-08-07,-0.09624302983283997,6.8
2016-08-08,-0.2345748782157898,5.6
2016-08-09,0.13082876205444335,4.6
2016-08-10,0.030631506443023683,5.8
2016-08-11,0.056889516115188596,3.4
2016-08-12,-0.07400246858596801,4.6
2016-08-13,-0.5614888429641723,5.2
2016-08-14,0.045906996726989745,17.4
2016-08-15,0.0,7.0
2016-08-16,-0.1842881202697754,13.2
2016-08-17,-0.2417394518852234,37.8
2016-08-18,-0.1280245900154114,5.6
2016-08-19,-0.14191749095916747,7.4
2016-08-20,-0.4107281565666199,7.8
2016-08-21,0.014383256435394287,5.2
2016-08-22,-0.4483566641807556,10.6
2016-08-23,-0.02139465808868408,3.4
2016-08-24,0.42885913252830504,3.6
2016-08-25,-0.15402050018310548,21.4
2016-08-26,-0.3236532211303711,7.0
2016-08-27,0.09144125580787658,14.4
2016-08-28,0.0,42.0
2016-08-29,-0.2728127121925354,6.0
2016-08-30,-0.1832747220993042,6.4
2016-08-31,0.004528820514678955,9.6
2016-09-01,-0.32695295810699465,5.8
2016-09-02,-0.12699438333511354,5.4
2016-09-03,-0.3061190128326416,5.6
2016-09-04,-0.42524075508117676,2.4
2016-09-05,0.2333218574523926,4.2
2016-09-06,0.0007345795631408692,5.6
2016-09-07,-0.4072732388973236,6.4
2016-09-08,-0.23227111101150513,6.6
2016-09-09,-0.2575001001358032,4.8
2016-09-10,-0.17769418954849242,12.4
2016-09-11,-0.19450989961624146,5.6
2016-09-12,-0.12949807643890382,4.0
2016-09-13,-0.19201433658599854,2.8
2016-09-14,-0.47861242294311523,9.4
2016-09-15,-0.052373218536376956,7.2
2016-09-16,-0.26979732513427734,18.2
2016-09-17,-0.4320209503173828,5.2
2016-09-18,0.3828739643096924,13.2
2016-09-19,-0.42218728065490724,8.8
2016-09-20,-0.29913303852081297,8.4
2016-09-21,-0.15686848163604736,6.6
2016-09-22,0.08501912951469422,3.4
2016-09-23,-0.1914242386817932,6.4
2016-09-24,-0.3541141986846924,5.8
2016-09-25,-0.23399693965911866,14.6
2016-09-26,-0.1536457896232605,8.2
2016-09-27,-0.2726554870605469,9.6
2016-09-28,0.0861510992050171,12.6
2016-09-29,-0.43027673959732055,3.2
2016-09-30,-0.30409966707229613,12.0
2016-10-01,-0.2696415185928345,2.6
2016-10-02,-0.47319453954696655,13.0
2016-10-03,-0.10331696271896362,3.2
2016-10-04,-0.6730361700057983,19.6
2016-10-05,-0.3345382571220398,2.8
2016-10-06,0.010621297359466552,6.0
2016-10-07,-0.18578392267227173,8.6
2016-10-08,-0.27125039100646975,15.0
2016-10-09,-0.27042369842529296,7.8
2016-10-10,-0.15568662881851197,4.6
2016-10-11,-0.23696465492248536,3.8
2016-10-12,-0.10295847654342652,22.6
2016-10-13,-0.3038987636566162,4.0
2016-10-14,-0.131805944442749,6.4
2016-10-15,0.19153391122817992,4.8
2016-10-16,-0.425136661529541,3.2
2016-10-17,-0.40830000638961794,7.8
